Entity_name,Entity_id
신성왕태후,E0033108
전호연,E0049760
김진,E0010632
정철,E0050998
조금강,E0051634
김지,E0010591
김성,E0009453
이춘발,E0046266
김송,E0009539
김혁,E0011029
유정,E0041805
매창,E0017994
지운영,E0054318
이승건,E0044931
조승숙,E0052329
임의,E0047599
승경궁주,E0032154
현맹인,E0063326
서장보,E0028141
정윤겸,E0050701
복덕,E0023655
이내성,E0043920
우홍부,E0040189
강인부,E0001357
양무,E0035515
유승,E0041598
김유정,E0010093
야이차,E0035287
소우,E0030215
장창국,E0048829
허준,E0063152
신소봉,E0033119
봉여해,E0023971
유위,E0041723
권재수,E0007050
오계종,E0038094
이종인,E0045939
오정근,E0038517
홍재구,E0064365
성해응,E0029686
신봉조,E0033015
성운,E0029467
신영,E0033207
최경,E0057169
이온,E0045225
지응진,E0054329
김경로,E0008627
혜명,E0063587
금수현,E0007879
장소진,E0048587
박광석,E0020548
편강렬,E0059827
안연석,E0034903
조혜,E0052767
조유례,E0052470
조순생,E0052322
이난수,E0043902
박용만,E0020975
이승손,E0044945
이단,E0074675
홍연,E0064258
김신복,E0009700
조계상,E0051574
최응,E0057563
도선,E0015705
장의찬,E0048754
혜초,E0063646
황현,E0065401
여윤철,E0036445
반야,E0021503
이반,E0044326
숭선군,E0032073
조원,E0052443
민호,E0020369
김언경,E0009785
이대건,E0043971
등린,E0017134
이징옥,E0046155
신인손,E0033302
사약사,E0025806
김전,E0010367
고비,E0003622
황명,E0071538
임자,E0047611
지영,E0075623
신로,E0032881
권적,E0007053
범경문,E0022552
용의왕후,E0039635
문정,E0019657
정일품,E0050817
조행립,E0052753
지성열,E0071671
김순,E0009604
이실춘,E0045027
장한공,E0048877
왕규,E0039045
한기,E0061527
조수량,E0052308
민지,E0020320
신관룡,E0032670
김귀,E0008771
승전,E0032237
김강,E0008597
보배,E0023361
홍대선,E0064016
김난상,E0008857
김은,E0010125
이봉,E0044452
김신,E0009692
김유지,E0010094
박송비,E0020828
문덕교,E0019441
권채,E0007102
고순,E0003772
마제갈문왕,E0017440
진의,E0054841
변효경,E0022977
진의귀,E0054842
배신,E0021898
조정,E0052567
김항,E0010960
천만리,E0055859
이존도,E0074123
경보,E0002430
오시만,E0038384
홍희,E0064525
팽원순,E0059816
우왕,E0040045
최사의,E0057348
박강생,E0020506
김용진,E0009972
구덕,E0005689
영우,E0037572
이효정,E0079748
천보,E0055888
손계묵,E0075896
최을의,E0057562
효충,E0065716
대원공,E0014632
강호문,E0001487
한홍기,E0062069
종정,E0053006
성무부인,E0029321
홍도,E0064026
흔린,E0065925
김생,E0009395
장신,E0048635
이금,E0043830
대경한,E0071947
현인,E0067445
우정,E0040089
김도,E0008960
